Time Step: 0, Visible Satellites: 9
Satellite 16 - x: 18339667.87080245, y: -14029506.847794201, z: -13147150.2994509, Azimuth: -49.53, Elevation: -35.49, r_Earth: 26571000.00, theta_Earth: 322.58, phi_Earth: 119.66, r_Receiver: 22647817.42, theta_Receiver: 310.47, phi_Receiver: -35.49
Satellite 17 - x: 16243829.959073167, y: 229634.0828513229, z: -21026252.577402137, Azimuth: 1.33, Elevation: -64.84, r_Earth: 26571000.00, theta_Earth: 0.81, phi_Earth: 142.31, r_Receiver: 23229911.77, theta_Receiver: 1.33, phi_Receiver: -64.84
Satellite 23 - x: 16448129.576156903, y: 341357.2881318786, z: 20865295.340535965, Azimuth: 1.94, Elevation: 64.21, r_Earth: 26571000.00, theta_Earth: 1.19, phi_Earth: 38.25, r_Receiver: 23173813.13, theta_Receiver: 1.94, phi_Receiver: 64.21
Satellite 24 - x: 18277993.30020535, y: 14490624.09062516, z: 12726146.918130487, Azimuth: 50.59, Elevation: 34.16, r_Earth: 26571000.00, theta_Earth: 38.41, phi_Earth: 61.38, r_Receiver: 22665160.30, theta_Receiver: 50.59, phi_Receiver: 34.16
Satellite 25 - x: 13123152.425529296, y: 23102481.667618744, z: -276138.0337161151, Azimuth: 73.71, Elevation: -0.66, r_Earth: 26571000.00, theta_Earth: 60.40, phi_Earth: 90.60, r_Receiver: 24070572.78, theta_Receiver: 73.71, phi_Receiver: -0.66
Time Step: 3, Visible Satellites: 9
Satellite 0 - x: 26568662.409691982, y: 197085.7597159107, z: 292191.6548044898, Azimuth: 0.56, Elevation: 0.83, r_Earth: 26571000.00, theta_Earth: 0.43, phi_Earth: 89.37, r_Receiver: 20200737.25, theta_Receiver: 0.56, phi_Receiver: 0.83
Satellite 1 - x: 21285018.192458317, y: 8893910.682961522, z: 13185764.835997242, Azimuth: 30.81, Elevation: 37.21, r_Earth: 26571000.00, theta_Earth: 22.68, phi_Earth: 60.25, r_Receiver: 21803531.37, theta_Receiver: 30.81, phi_Receiver: 37.21
Satellite 9 - x: 21721757.1511324, y: -8557356.376153216, z: -12686802.556938387, Azimuth: -29.14, Elevation: -35.82, r_Earth: 26571000.00, theta_Earth: 338.50, phi_Earth: 118.52, r_Receiver: 21675540.42, theta_Receiver: 330.86, phi_Receiver: -35.82
Satellite 15 - x: 13482727.609303098, y: -22893629.20189617, z: -340351.5526963543, Azimuth: -72.74, Elevation: -0.81, r_Earth: 26571000.00, theta_Earth: 300.50, phi_Earth: 90.73, r_Receiver: 23975211.51, theta_Receiver: 287.26, phi_Receiver: -0.81
Satellite 16 - x: 18349967.800248876, y: -13943248.553014247, z: -13224316.334642613, Azimuth: -49.33, Elevation: -35.73, r_Earth: 26571000.00, theta_Earth: 322.77, phi_Earth: 119.85, r_Receiver: 22644919.79, theta_Receiver: 310.67, phi_Receiver: -35.73
Satellite 17 - x: 16204999.245095368, y: 335368.66373546456, z: -21054775.42805534, Azimuth: 1.95, Elevation: -64.95, r_Earth: 26571000.00, theta_Earth: 1.19, phi_Earth: 142.41, r_Receiver: 23240558.98, theta_Receiver: 1.95, phi_Receiver: -64.95
Satellite 23 - x: 16484959.676287383, y: 447085.0320140412, z: 20834208.898955774, Azimuth: 2.53, Elevation: 64.08, r_Earth: 26571000.00, theta_Earth: 1.55, phi_Earth: 38.36, r_Receiver: 23163685.50, theta_Receiver: 2.53, phi_Receiver: 64.08
Satellite 24 - x: 18265452.52007158, y: 14575137.070358422, z: 12647397.54326061, Azimuth: 50.78, Elevation: 33.91, r_Earth: 26571000.00, theta_Earth: 38.59, phi_Earth: 61.58, r_Receiver: 22668685.14, theta_Receiver: 50.78, phi_Receiver: 33.91
Satellite 25 - x: 13066033.066082107, y: 23133484.3139631, z: -372457.26153769344, Azimuth: 73.86, Elevation: -0.89, r_Earth: 26571000.00, theta_Earth: 60.54, phi_Earth: 90.80, r_Receiver: 24085686.39, theta_Receiver: 73.86, phi_Receiver: -0.89
Time Step: 4, Visible Satellites: 9
Satellite 0 - x: 26566867.13267904, y: 262053.18479414858, z: 388509.82345026097, Azimuth: 0.74, Elevation: 1.10, r_Earth: 26571000.00, theta_Earth: 0.57, phi_Earth: 89.16, r_Receiver: 20201303.45, theta_Receiver: 0.74, phi_Receiver: 1.10
Satellite 1 - x: 21215262.932229903, y: 8945874.667390615, z: 13262804.611080222, Azimuth: 31.08, Elevation: 37.42, r_Earth: 26571000.00, theta_Earth: 22.86, phi_Earth: 60.06, r_Receiver: 21823904.36, theta_Receiver: 31.08, phi_Receiver: 37.42
Satellite 9 - x: 21788469.295981247, y: -8504157.55793895, z: -12607932.065482913, Azimuth: -28.88, Elevation: -35.60, r_Earth: 26571000.00, theta_Earth: 338.68, phi_Earth: 118.33, r_Receiver: 21655923.12, theta_Receiver: 331.12, phi_Receiver: -35.60
Satellite 15 - x: 13537964.363926353, y: -22859371.91785173, z: -436666.2368350913, Azimuth: -72.59, Elevation: -1.04, r_Earth: 26571000.00, theta_Earth: 300.64, phi_Earth: 90.94, r_Receiver: 23960528.79, theta_Receiver: 287.41, phi_Receiver: -1.04
Satellite 16 - x: 18359916.823366217, y: -13856723.621572115, z: -13301229.481308842, Azimuth: -49.13, Elevation: -35.98, r_Earth: 26571000.00, theta_Earth: 322.96, phi_Earth: 120.04, r_Receiver: 22642120.52, theta_Receiver: 310.87, phi_Receiver: -35.98
Satellite 17 - x: 16165858.643009868, y: 441096.8313665714, z: -21082895.648358684, Azimuth: 2.58, Elevation: -65.06, r_Earth: 26571000.00, theta_Earth: 1.56, phi_Earth: 142.51, r_Receiver: 23251286.23, theta_Receiver: 2.58, phi_Receiver: -65.06
Satellite 23 - x: 16521474.534628445, y: 552804.2262917041, z: 20802724.044918206, Azimuth: 3.12, Elevation: 63.96, r_Earth: 26571000.00, theta_Earth: 1.92, phi_Earth: 38.47, r_Receiver: 23153640.18, theta_Receiver: 3.12, phi_Receiver: 63.96
Satellite 24 - x: 18252562.449793942, y: 14659371.329829015, z: 12568406.312279982, Azimuth: 50.97, Elevation: 33.67, r_Earth: 26571000.00, theta_Earth: 38.77, phi_Earth: 61.77, r_Receiver: 22672307.59, theta_Receiver: 50.97, phi_Receiver: 33.67
Satellite 25 - x: 13008663.84495947, y: 23164044.5788195, z: -468769.36686119385, Azimuth: 74.01, Elevation: -1.11, r_Earth: 26571000.00, theta_Earth: 60.68, phi_Earth: 91.01, r_Receiver: 24100856.57, theta_Receiver: 74.01, phi_Receiver: -1.11
Time Step: 5, Visible Satellites: 9
Satellite 0 - x: 26564563.817618165, y: 327015.5986308355, z: 484820.562624905, Azimuth: 0.93, Elevation: 1.38, r_Earth: 26571000.00, theta_Earth: 0.71, phi_Earth: 88.95, r_Receiver: 20202029.84, theta_Receiver: 0.93, phi_Receiver: 1.38
Satellite 1 - x: 21145101.972650014, y: 8997667.579909708, z: 13339590.761626624, Azimuth: 31.34, Elevation: 37.64, r_Earth: 26571000.00, theta_Earth: 23.05, phi_Earth: 59.87, r_Receiver: 21844376.68, theta_Receiver: 31.34, phi_Receiver: 37.64
